Height,Weight,HandSize,ArmLength,FortyTime,TwentyTime,TenTime,Bench,Vertical,BroadJump,Shuttle,ThreeCone,SixtyShuttle,LastYearRecAvg,CareerRecAvg,LastYearReturnAvg,CareerReturnAvg,DraftRound,College,DraftYear,CareerRec,LastYearRec
73.88,202.0,,,4.55,2.68,1.63,11.0,33.5,119.0,4.53,7.06,,0,0,0,0,0,Mississippi,2019,0,0
72.13,208.0,,,4.35,2.59,1.54,18.0,37.5,125.0,4.15,7.01,,20.0,16.7,0,0,3,Ohio State,2019,1251,701
75.38,228.0,,,4.33,2.53,1.48,27.0,40.5,134.0,4.5,7.38,,21.9,18.3,0,0,0,Mississippi,2019,1228,569
73.63,203.0,,,4.63,2.66,1.56,13.0,37.0,118.0,4.23,7.07,,11.4,11.5,0,0,0,North Carolina State,2019,1932,1047
69.13,174.0,,,,,,,,,,,,16.2,13.3,,18.4,6,Bowling Green (OH),2019,2867,1148
73.25,197.0,,,4.46,2.61,1.55,12.0,36.5,122.0,4.29,,,15.8,14.4,0,0,7,Oregon,2019,1710,1184
72.0,202.0,,,4.53,2.66,1.58,14.0,38.5,125.0,4.13,6.78,,0,0,0,0,0,Nebraska,2019,0,0
70.25,193.0,,,4.63,2.74,1.62,8.0,34.0,113.0,4.4,7.2,,13.8,14.6,0,0,0,Florida State,2019,1854,744
71.25,188.0,,,,,,,,,,,,11.5,11.0,0,0,0,Northwestern,2019,1763,780
74.75,207.0,,,,,,,,,,,,0,0,0,0,0,Central Missouri,2019,0,0
71.63,197.0,,,,,,,,,,,,0,0,0,0,0,Central Florida,2019,0,0
70.5,178.0,,,,,,,,,,,,9.0,9.7,0,0,0,Frenso State (CA),2019,484,144
68.25,163.0,,,,,,,,,,,,10.8,11.5,0,0,0,Duke,2019,2919,811
72.25,205.0,,,,,,,,,,,,16.4,16.8,21.4,23.6,0,North Carolina,2019,1340,689
70.5,180.0,,,4.59,2.69,1.64,7.0,35.0,116.0,4.19,6.8,,11.1,11.5,0,0,5,Clemson,2019,2133,544
71.38,202.0,,,,,,,,,,,,15.3,14.9,0,0,0,Boise State,2019,1474,825
73.25,194.0,,,4.58,2.69,1.57,13.0,30.5,124.0,4.28,7.22,,13.0,14.7,0,0,4,Georgia,2019,1015,559
71.25,214.0,,,4.48,2.66,1.6,15.0,39.0,122.0,4.14,7.03,,14.2,14.0,24.8,29.0,2,South Carolina,2019,2076,882
75.25,211.0,,,4.57,2.67,1.58,14.0,37.5,117.0,4.28,6.97,,15.2,15.9,0,0,0,West Virginia,2019,2097,986
74.88,208.0,,,,,,,,,,,,15.8,15.2,0,0,0,Houston,2019,1265,221
73.0,190.0,,,4.39,2.62,1.56,11.0,40.5,135.0,4.15,7.0,,19.1,20.3,-11.0,-11.0,5,Auburn,2019,1605,670
74.25,213.0,,,4.47,2.64,1.56,14.0,34.5,122.0,4.48,7.55,,15.3,16.5,0,0,0,Louisville,2019,2505,550
72.0,191.0,,,,,,,,,,,,0,0,,9.0,0,Boston College,2019,0,0
69.5,174.0,,,,,,,,,,,,0,0,0,0,0,Lenoir-Rhyne,2019,0,0
71.38,189.0,,,,,,,,,,,,16.0,14.3,0,0,0,Central Florida,2019,1519,688
